Year,Forest_Area_LandCover_km2,Forest_Loss_ha,Mean_Discharge_m3s,Total_Glacial_Lake_Area_km2
1959.0,,,,0.8897388515575408
1960.0,,,,18.83198266546441
1962.0,,,1136.2083333333333,202.00042236916136
1963.0,,,970.01,298.1049638341758
1964.0,,,464.17628205128204,359.0850365485037
1965.0,,,343.7439444444445,121.91990769371213
1966.0,,,402.8705729166666,547.2611824100035
1967.0,,,367.516568627451,1434.5195116368811
1968.0,,,440.6986764705882,135.5250146130476
1969.0,,,392.3165196078432,
1970.0,,,422.95078431372553,156.3580714918569
1971.0,,,458.76194444444445,
1972.0,,,340.7373684210526,
1973.0,,,460.4920614035088,
1974.0,,,371.0088596491228,1321.0466009807403
1975.0,,,469.30078947368423,591.065934354933
1976.0,,,283.40970833333336,
1977.0,,,375.3202777777778,
1978.0,,,359.28771986970685,14.243512070975061
1979.0,,,265.5564423076923,
1980.0,,,333.92214743589744,
1981.0,,,337.6701,
1982.0,,,302.0003344481606,27.337449887422775
1983.0,,,329.7527,
1984.0,,,311.74939102564105,
1985.0,,,331.5251666666667,
1986.0,,,261.2955223880597,
1987.0,,,259.48674698795185,
1988.0,,,288.1309523809524,
1989.0,,,139.07857142857142,
1990.0,,,366.5083333333333,
1991.0,,,562.6150485436893,
1992.0,,,467.5596296296296,100.59627798736976
1993.0,,,630.1385365853658,
1994.0,,,,3168.307636391159
1998.0,,,,2030.6958356148593
1999.0,,,,1815.0731924824433
2000.0,,,,518.7313257673502
2001.0,,207719.46,,660.8392492734499
2002.0,,,,1581.2639970814666
2004.0,,,,455.2130461443472
2005.0,,,,11.61592455227839
2006.0,,,,452.8164127049335
2007.0,,,,832.767353479024
2008.0,,,,436.26406954553613
2009.0,,,,4856.310694983519
2010.0,,,,6908.824169063719
2011.0,,,,376.0599008423973
2017.0,69943.344,,,
2018.0,64183.301,,,
2019.0,60428.195,,,
2020.0,65478.815,,,
2021.0,64436.212,,,
2022.0,64121.848,,,
2023.0,61480.226,,,
2024.0,63507.842,,,
