Station_ID,date,discharge_m3s
2548310,1978-12-31,34.33972602739726
2548310,1979-12-31,22.0986301369863
2548310,1980-12-31,26.8551912568306
2548310,1981-12-31,26.71232876712329
2548310,1982-12-31,25.602739726027398
2548310,1983-12-31,32.63835616438356
2548310,1984-12-31,31.778688524590162
2548310,1985-12-31,29.265753424657536
2548320,1978-12-31,350.33972602739726
2548320,1979-12-31,235.9972602739726
2548320,1980-12-31,307.1338797814208
2548320,1981-12-31,296.90410958904107
2548320,1982-12-31,311.041095890411
2548320,1983-12-31,345.24657534246575
2548320,1984-12-31,248.48907103825135
2548320,1985-12-31,231.26849315068492
2548320,1986-12-31,240.32054794520548
2548320,1987-12-31,189.85479452054796
2548400,1987-12-31,1038.5955056179776
2548400,1988-12-31,1432.5921787709497
2548400,1989-12-31,340.35955056179773
2548400,1990-12-31,1657.8323699421965
2549210,1978-12-31,20.814070351758794
2549210,1979-12-31,23.767123287671232
2549210,1980-12-31,23.71311475409836
2549210,1981-12-31,28.583561643835615
2549210,1982-12-31,28.356435643564357
2549210,1983-12-31,21.904109589041095
2549210,1984-12-31,28.43169398907104
2549210,1985-12-31,30.035616438356165
2549210,1986-12-31,31.564383561643837
2549210,1988-12-31,27.437158469945356
2549210,1989-12-31,27.415730337078653
2549210,1990-12-31,33.35260115606936
2549220,1978-12-31,53.90958904109589
2549220,1979-12-31,31.60821917808219
2549220,1980-12-31,39.36065573770492
2549220,1981-12-31,30.69041095890411
2549220,1982-12-31,25.61917808219178
2549220,1983-12-31,36.323287671232876
2549220,1984-12-31,36.15300546448088
2549220,1985-12-31,45.16164383561644
2549220,1986-12-31,36.92307692307692
2549230,1978-12-31,22.616438356164384
2549230,1979-12-31,19.224657534246575
2549230,1980-12-31,19.91256830601093
2549230,1981-12-31,18.084931506849315
2549230,1982-12-31,19.167123287671235
2549230,1983-12-31,18.915068493150685
2549230,1984-12-31,23.084699453551913
2549230,1985-12-31,21.438356164383563
2549230,1986-12-31,5.583333333333333
2549230,1987-12-31,21.269662921348313
2549230,1988-12-31,25.56983240223464
2549230,1989-12-31,24.603932584269664
2549230,1990-12-31,22.224719101123597
2549230,1991-12-31,19.109550561797754
2549230,1992-12-31,16.721264367816094
2549240,1978-12-31,31.832876712328765
2549240,1979-12-31,26.49702380952381
2549240,1980-12-31,25.410958904109588
2549240,1981-12-31,30.16986301369863
2549240,1982-12-31,31.31129476584022
2549240,1983-12-31,25.454794520547946
2549240,1984-12-31,32.8551912568306
2549240,1985-12-31,29.22252747252747
2549240,1986-12-31,32.837465564738295
2549240,1987-12-31,27.110192837465565
2549240,1988-12-31,32.73150684931507
2549240,1989-12-31,40.225433526011564
2549250,1987-12-31,218.61516853932585
2549250,1988-12-31,245.91620111731842
2549250,1989-12-31,232.74157303370785
2549250,1990-12-31,211.38483146067415
2549250,1991-12-31,146.5505617977528
2549250,1992-12-31,170.30747126436782
2550110,1978-12-31,152.13698630136986
2550110,1979-12-31,120.5123287671233
2550110,1980-12-31,139.09016393442624
2550110,1981-12-31,134.51780821917808
2550110,1982-12-31,120.45479452054795
2550110,1983-12-31,137.6054794520548
2550110,1984-12-31,143.29234972677597
2550110,1985-12-31,149.43835616438355
2550110,1986-12-31,134.66575342465754
2550110,1987-12-31,155.5922619047619
2550120,1978-12-31,53.3013698630137
2550120,1979-12-31,40.37534246575343
2550120,1980-12-31,41.568306010928964
2550120,1981-12-31,45.863013698630134
2550120,1982-12-31,48.45753424657534
2550120,1983-12-31,73.69315068493151
2550120,1984-12-31,55.80874316939891
2550120,1985-12-31,74.69041095890411
2550120,1986-12-31,67.07397260273973
2550120,1988-12-31,57.243169398907106
2550120,1989-12-31,56.38202247191011
2550120,1990-12-31,55.907514450867055
