Districts,Households,Average Household Size,Male ,Female,Area in Sq. KM,Total Population
Taplejung,26509,4.81,60552,66909,3646,127461
Panchthar,41196,4.66,90186,101631,1241,191817
Ilam,64502,4.50,141126,149128,1703,290254
Jhapa,184552,4.40,385096,427554,1606,812650
Morang,213997,4.51,466712,498658,1855,965370
Sunsari,162407,4.70,371229,392258,1257,763487
Dhankuta,37637,4.34,76515,86897,891,163412
Terhathum,22094,4.60,47151,54426,679,101577
Sankhuwasabha,34624,4.58,75225,83517,3480,158742
Bhojpur,39419,4.63,86053,96406,1507,182459
Solukhumbu,23785,4.45,51200,54686,3312,105886
Okhaldhunga,32502,4.55,68687,79297,1074,147984
Khotang,42664,4.84,97092,109220,1591,206312
Udayapur,66557,4.77,149712,167820,2063,317532
Saptari,121098,5.28,313846,325438,1363,639284
Siraha,117962,5.40,310101,327227,1188,637328
Dhanusa,138249,5.46,378538,376239,1180,754777
Mahottari,111316,5.64,311016,316564,1002,627580
Sarlahi,132844,5.79,389756,379973,1259,769729
Sindhuli,57581,5.14,142123,154069,2491,296192
Ramechhap,43910,4.62,93386,109260,1546,202646
Dolakha,45688,4.08,87003,99554,2191,186557
Sindhupalchok,66688,4.32,138351,149447,2542,287798
Kavrepalanchok,80720,4.73,182936,199001,1396,381937
Lalitpur,109797,4.26,238082,230050,385,468132
Bhaktapur,68636,4.44,154884,149767,119,304651
Kathmandu,436344,4.00,913001,831239,395,1744240
Nuwakot,59215,4.69,132787,144684,1121,277471
Rasuwa,9778,4.43,21475,21825,1544,43300
Dhading,73851,4.55,157834,178233,1926,336067
Makwanpur,86127,4.88,206684,213793,2426,420477
Rautahat,106668,6.44,351079,335643,1126,686722
Bara,108635,6.33,351244,336464,1190,687708
Parsa,95536,6.29,312358,288659,1353,601017
Chitawan,132462,4.38,279087,300897,2218,579984
Gorkha,66506,4.08,121041,150020,3610,271061
Lamjung,42079,3.99,75913,91811,1692,167724
Tanahu,78309,4.13,143410,179878,1546,323288
Syangja,68881,4.20,125833,163315,1164,289148
Kaski,125673,3.92,236385,255713,2017,492098
Manang,1480,4.42,3661,2877,2246,6538
Mustang,3354,4.01,7093,6359,3573,13452
Myagdi,27762,4.09,51395,62246,2297,113641
Parbat,35719,4.10,65301,81289,494,146590
Baglung,61522,4.37,117997,150616,1784,268613
Gulmi,64921,4.32,120995,159165,1149,280160
Palpa,59291,4.41,115840,145340,1373,261180
Nawalparasi,128793,5.00,303675,339833,2162,643508
Rupandehi,163916,5.37,432193,448003,1360,880196
Kapilbastu,91321,6.26,285599,286337,1738,571936
Arghakhanchi,46835,4.22,86266,111366,1193,197632
Pyuthan,47730,4.78,100053,128049,1309,228102
Rolpa,43757,5.13,103100,121406,1879,224506
Rukum,41856,4.98,99159,109408,2877,208567
Salyan,46556,5.21,115969,126475,1462,242444
Dang,116415,4.75,261059,291524,2955,552583
Banke,94773,5.18,244255,247058,2337,491313
Bardiya,83176,5.13,205080,221496,2025,426576
Surkhet,72863,4.81,169421,181383,2451,350804
Dailekh,48919,5.35,126990,134780,1502,261770
Jajarkot,30472,5.62,85537,85767,2230,171304
Dolpa,7488,4.90,18238,18462,7889,36700
Jumla,19303,5.64,54898,54023,2531,108921
Kalikot,23013,5.95,68833,68115,1741,136948
Mugu,9619,5.75,28025,27261,3535,55286
Humla,9479,5.37,25833,25025,5655,50858
Bajura,24908,5.42,65806,69106,2188,134912
Bajhang,33786,5.78,92794,102365,3422,195159
Achham,48351,5.33,120008,137469,1680,257477
Doti,41440,5.11,97252,114494,2025,211746
Kailali,142480,5.44,378417,397292,3235,775709
Kanchanpur,82152,5.49,216042,235206,1610,451248
Dadeldhura,27045,5.25,66556,75538,1538,142094
Baitadi,45191,5.55,117407,133491,1519,250898
Darchula,24618,5.41,63605,69669,2322,133274
