year,predicted_glacier_area_percent
2025,15.852604053662105
2026,15.852604053662105
2027,15.852604053662105
2028,15.852604053662105
2029,15.852604053662105
2030,15.852604053662105
2031,15.852604053662105
2032,15.852604053662105
2033,15.852604053662105
2034,15.852604053662105
2035,15.852604053662105
2036,15.852604053662105
2037,15.852604053662105
2038,15.852604053662105
2039,15.852604053662105
2040,15.852604053662105
2041,15.852604053662105
2042,15.852604053662105
2043,15.852604053662105
2044,15.852604053662105
2045,15.852604053662105
2046,15.852604053662105
2047,15.852604053662105
2048,15.852604053662105
2049,15.852604053662105
2050,15.852604053662105
